name,phone,addresss,birthday,occupation,gender
Jarrod P,1 (11) 543 535-015*,657 H St.,14/09/1982,Manager,M  
Maurice G,1 (11) 543 535-017*,"5, avenue de la Gare",25/08/1972,Manager,M  
Devin R,1 (11) 543 535-017*,Tostenweg 2428,22/02/1958,Manager,M  
Sydney B,1 (11) 543 535-015*,ostfach 99 92 92,19/04/1958,Manager,M  
Megan S,1 (11) 543 535-011*,192 Seagull Court,25/04/1958,Manager,F  
Ian R,1 (11) 543 535-011*,26 W. Buchanan Rd.,07/03/1958,Manager,M  
Randy S,1 (11) 543 535-014*,Mo str 5538,15/06/1948,Manager,M  
Katrina B,1 (11) 543 535-015*,"205, rue Malar",29/03/1949,Manager,F  
Lacey Z,1 (11) 543 535-017*,"33, rue de Linois",26/02/1949,Manager,F  
Rafael H,1 (11) 543 535-015*,eiter Weg 7765,19/02/1949,Manager,M  
Kyle S,1 (11) 543 535-017*,381 Alpine Rd.,07/02/1949,Manager,M  
Tasha D,1 (11) 543 535-017*,627 Kendall Rd,23/10/1976,Nurse,M  
Seth R,199-535-014*,989 Concord Ave,23/07/1957,Nurse,M  
Caleb P,786-535-013*,324 Cherry Street,24/06/1957,Nurse,F  
Natalie C,178-535-014*,481 Broadmoor Drive,23/08/1958,Nurse,M  
Alyssa H,805-535-018*,780 Conifer Terrace,27/09/1958,Nurse,M  
Dalton D,994-535-015*,033 Danesta Dr.,20/04/1958,Nurse,F  
Shannon H,458-535-011*,679 Duke Way,25/02/1958,Nurse,F  
Mya G,211-535-011*,826 Fine Drive,21/10/1958,Nurse,F  
Katherine B,802-535-013*,761 Dancing Court,20/06/1958,Nurse,F  
Edward W,446-535-017*,747 Carmel Dr.,20/05/1959,Nurse,F  
Jerome N,934-535-019*,537 Ridgewood Drive,27/03/1959,Nurse,M  
Alexandria H,1 (11) 543 535-018*,"1, rue de la Cavalerie",18/07/1930,Retiree,M  
Deb T,1 (11) 543 535-012*,553 Harness Circle,18/08/1972,Nurse,M  
Shannon A,1 (11) 543 535-015*,"68, avenue de l?Europe",25/05/1971,Nurse,F  
Eddie R,1 (11) 543 535-015*,eiderplatz 662,27/05/1971,Nurse,M  
Sharon L,1 (11) 543 535-011*,804 Coldwater Drive,19/09/1971,Nurse,F  
Sydney S,1 (11) 543 535-019*,"8, avenue de l? Union Centrale",07/09/1930,Retiree,F  
Lucas E,1 (11) 543 535-015*,663 A St.,24/05/1971,Nurse,M  
Felicia R,1 (11) 543 535-019*,557 Steven Circle,25/01/1971,Nurse,M  
Ivan M,1 (11) 543 535-019*,086 Nottingham Place,22/08/1971,Nurse,M  
Frederick S,1 (11) 543 535-011*,Ootth user Weg 636,26/12/1971,Nurse,M  
