Jerome N,934-535-019*,9537 Ridgewood Drive,20/03/1959,Nurse,M  
Hailey W,767-535-015*,6321 Maya,13/10/1957,Manager,F  
Gabrielle L,783-535-017*,8619 Parkside Dr.,14/08/1957,Manager,F  
Xavier H,559-535-014*,2707 Virgil Street,18/06/1937,Retiree,F  
Nicholas T,377-535-014*,504 O St.,10/06/1936,Retiree,M  
Charles M,389-535-011*,2719 Little Dr,10/11/1953,Researcher,F  
Colin L,599-535-013*,6083 San Jose,14/04/1937,Retiree,F  
Russell S,1 (11) 543 535-019*,4755 Easley Drive,25/03/1945,Retiree,F  
Maria R,158-535-019*,9452 Mariposa Ct.,10/02/1980,Labour,M  
Luke L,262-535-011*,7832 Landing Dr,10/03/1982,Labour,M  
Clarence R,1 (11) 543 535-013*,244 Rivewview,19/10/1948,Labour,F  
Mya G,211-535-011*,8826 Fine Drive,13/10/1958,Nurse,F  
Edward W,446-535-017*,2747 Carmel Dr.,20/05/1959,Nurse,F  
Ian R,1 (11) 543 535-011*,726 W. Buchanan Rd.,28/03/1958,Manager,M  
Sydney B,1 (11) 543 535-015*,Postfach 99 92 92,19/04/1958,Manager,M  
Mya F,522-535-014*,8439 Rio Grande Drive,13/12/1957,Manager,F  
Sara R,296-535-017*,7375 Kipling Court,13/04/1957,Manager,M  
Ramon Y,1 (11) 543 535-014*,3245 Vista Oak Dr.,13/03/1983,Manager,M  
Jarrod P,1 (11) 543 535-015*,7657 H St.,14/09/1982,Manager,M  
Brianna H,319-535-018*,6793 Bonifacio St.,20/09/1979,Labour,F  
April D,1 (11) 543 535-018*,485 Ash Lane,13/02/1965,Labour,F  
Meredith G,1 (11) 543 535-017*,7610 Northridge Ct.,13/02/1966,Labour,M  
Evan J,1 (11) 543 535-018*,4157 Sierra Ridge,20/04/1939,Retiree,F  
Crystal W,1 (11) 543 535-013*,2773 Kirkwood Dr,19/09/1966,Labour,F  
Alan Z,1 (11) 543 535-013*,2741 Gainborough Dr.,10/09/1955,Labour,F  
Katherine B,802-535-013*,8761 Dancing Court,10/06/1958,Nurse,F  
Alexandria H,1 (11) 543 535-018*,"11, rue de la Cavalerie",18/07/1930,Retiree,M  
Jessica W,702-535-018*,1652 Willcrest Circle,16/10/1956,Manager,M  
Anne R,1 (11) 543 535-014*,7113 Eastgate Ave.,16/04/1943,Retiree,M  
Deanna S,1 (11) 543 535-014*,Dunckerstr 22525,13/02/1946,Manager,M  
Roberto G,1 (11) 543 535-012*,3545 Chickpea Ct.,18/12/1946,Manager,M  
Charles C,755-535-011*,6871 Bel Air Dr.,11/12/1954,Researcher,F  
Stephanie M,293-535-015*,5514 Grant Street,24/05/1953,Researcher,M  
Tasha D,1 (11) 543 535-017*,9627 Kendall Rd,23/10/1976,Nurse,M  
Devin R,1 (11) 543 535-017*,Postenweg 2428,21/02/1958,Manager,M  
Edward W,229-535-011*,1039 Adelaide St.,18/06/1952,Researcher,M  
Angela J,847-535-011*,8877 Weatherly Drive,13/06/1980,Labour,F  
Carl A,1 (11) 543 535-018*,6930 Lake Nadine Place,21/10/1957,Labour,F  
Lacey Z,1 (11) 543 535-017*,"4, rue de Linois",16/02/1949,Manager,F  
Chloe Y,208-535-014*,244 Willow Pass Road,10/02/1983,Labour,F  
Felicia R,1 (11) 543 535-019*,9557 Steven Circle,25/01/1971,Nurse,M  
Hannah L,974-535-017*,1832 Preston Ct.,23/06/1979,Labour,M  
Shannon W,1 (11) 543 535-019*,7330 Saddlehill Lane,16/06/1948,Labour,M  
Deb T,1 (11) 543 535-012*,7553 Harness Circle,18/08/1972,Nurse,M  
Ivan M,1 (11) 543 535-019*,5086 Nottingham Place,11/08/1971,Nurse,M  
Jacqueline P,796-535-011*,4076 Northwood Dr,16/01/1937,Retiree,F  
James W,355-535-015*,6827 Seagull Court,20/01/1980,Labour,F  
Ian J,817-535-018*,7902 Hudson Ave.,16/08/1972,Labour,M  
Heidi L,1 (11) 543 535-016*,2514 Via Cordona,10/08/1955,Labour,F  
Michele N,1 (11) 543 535-017*,5464 Janin Pl.,13/04/1957,Labour,M  
Natalie C,178-535-014*,3481 Broadmoor Drive,23/08/1958,Nurse,M  
Victoria R,663-535-019*,9268 Keller Ridge,20/09/1956,Manager,M  
Eddie R,1 (11) 543 535-015*,Heiderplatz 662,10/05/1971,Nurse,M  
Erin S,233-535-016*,7541 Black Point Pl,19/07/1957,Manager,M  
Melinda G,1 (11) 543 535-011*,805 Rainier Dr.,15/02/1946,Labour,F  
Hunter R,891-535-012*,8356 Mori Court,16/01/1980,Labour,F  
Micheal B,1 (11) 543 535-013*,596 Marfargoa Drive,13/02/1966,Labour,M  
Jasmine T,939-535-013*,8328 San Francisco,10/05/1954,Researcher,F  
Natalie A,300-535-015*,6592 Bent Tree Lane,23/02/1954,Researcher,F  
Seth R,199-535-014*,5989 Concord Ave,23/07/1957,Nurse,M  
Raymond R,1 (11) 543 535-013*,"24, impasse Ste-Madeleine",10/03/1944,Retiree,F  
